time [s], avg_distance [px]
0.12134,490.97,3.8141e+06,2.7315e+06
8.7149,492.81,3.8399e+06,2.7042e+06
8.9198,492.98,3.8239e+06,2.6964e+06
9.0967,493.36,3.8499e+06,2.7155e+06
9.2689,489.17,3.8589e+06,2.7218e+06
9.4333,484.41,3.8254e+06,2.7113e+06
9.5958,494.77,3.8654e+06,2.7165e+06
9.7632,497.73,3.8545e+06,2.72e+06
9.9341,485.36,3.8095e+06,2.6904e+06
10.115,485.42,3.7697e+06,2.6699e+06
10.282,494.51,3.7431e+06,2.6498e+06
10.455,488.73,3.7586e+06,2.6563e+06
10.607,483.36,3.782e+06,2.6609e+06
11.004,486.6,3.7728e+06,2.6659e+06
11.185,492.47,3.783e+06,2.6812e+06
11.841,482.56,3.8206e+06,2.7241e+06
12.048,483.26,3.7914e+06,2.7142e+06
12.227,498.73,3.7876e+06,2.7065e+06
12.449,493.62,3.8116e+06,2.7386e+06
12.612,492.21,3.8183e+06,2.7495e+06
12.827,490,3.8056e+06,2.7487e+06
13.019,500.7,3.7883e+06,2.7391e+06
13.198,491.51,3.8279e+06,2.7639e+06
13.364,508.26,3.8038e+06,2.738e+06
13.558,502.8,3.7569e+06,2.6973e+06
13.739,503.79,3.7342e+06,2.6711e+06
14,487.25,3.7277e+06,2.6545e+06
14.182,495.55,3.7096e+06,2.6437e+06
14.352,500.05,3.724e+06,2.6272e+06
14.594,494.31,3.8122e+06,2.7107e+06
14.77,506.58,3.8362e+06,2.7067e+06
14.948,483.8,3.8706e+06,2.7631e+06
15.116,502.68,3.8453e+06,2.741e+06
15.312,475.65,3.8425e+06,2.7234e+06
15.544,479.86,3.8529e+06,2.7285e+06
15.707,466.49,3.8383e+06,2.7354e+06
15.92,477.96,3.8062e+06,2.6815e+06
16.093,475.41,3.7331e+06,2.6108e+06
16.271,483.23,3.7715e+06,2.6432e+06
16.459,476.95,3.7926e+06,2.6378e+06
16.676,466.96,3.8156e+06,2.6652e+06
16.876,481.35,3.8399e+06,2.682e+06
17.05,476,3.791e+06,2.6302e+06
